"Sample","replicate","Donor","MFI","severe","dose","time"
"100_30M",1,"7",134.99379025,1,"100","30M"
"100_30M",1,"8",135.8409729,1,"100","30M"
"100_30M",1,"9",126.6843822,1,"100","30M"
"100_30M",2,"10",130.71910072118,1,"100","30M"
"100_30M",2,"6",153.536260202527,1,"100","30M"
"100_30M",2,"7",123.059567824006,1,"100","30M"
"100_30M",2,"8",124.423784874379,1,"100","30M"
"100_30M",2,"9",129.186358436942,1,"100","30M"
"100_60M",1,"10",103.3284058,1,"100","60M"
"100_60M",1,"6",112.29598945,1,"100","60M"
"100_60M",1,"7",102.5878611,1,"100","60M"
"100_60M",1,"8",101.5066541,1,"100","60M"
"100_60M",1,"9",102.4084928,1,"100","60M"
"100_60M",2,"10",148.019610188901,1,"100","60M"
"100_60M",2,"6",160.09141562879,1,"100","60M"
"100_60M",2,"7",123.540244489908,1,"100","60M"
"100_60M",2,"8",135.362880393862,1,"100","60M"
"100_60M",2,"9",143.781332992017,1,"100","60M"
"10_120M",1,"10",102.9713132,1,"10","120M"
"10_120M",1,"6",107.4597203,1,"10","120M"
"10_120M",1,"7",95.36484985,1,"10","120M"
"10_120M",1,"8",92.626105695,1,"10","120M"
"10_120M",1,"9",96.30472131,1,"10","120M"
"10_120M",2,"10",136.034688211977,1,"10","120M"
"10_120M",2,"6",138.507577560841,1,"10","120M"
"10_120M",2,"7",124.694196447729,1,"10","120M"
"10_120M",2,"8",130.880701437592,1,"10","120M"
"10_120M",2,"9",135.608753852546,1,"10","120M"
"10_240M",1,"10",79.298171765,1,"10","240M"
"10_240M",1,"6",72.5221359,1,"10","240M"
"10_240M",1,"7",68.516019795,1,"10","240M"
"10_240M",1,"8",67.5915886,1,"10","240M"
"10_240M",1,"9",77.291174765,1,"10","240M"
"10_240M",2,"10",120.026506833732,1,"10","240M"
"10_240M",2,"6",112.731575943529,1,"10","240M"
"10_240M",2,"7",109.413891837,1,"10","240M"
"10_240M",2,"8",110.118583723903,1,"10","240M"
"10_240M",2,"9",120.151027075946,1,"10","240M"
"10_30M",1,"10",130.4157204,1,"10","30M"
"10_30M",1,"6",129.7605548,1,"10","30M"
"10_30M",1,"7",113.7180368,1,"10","30M"
"10_30M",1,"8",119.1062729,1,"10","30M"
"10_30M",1,"9",118.71493545,1,"10","30M"
"10_30M",2,"10",104.912276044487,1,"10","30M"
"10_30M",2,"6",123.975782684982,1,"10","30M"
"10_30M",2,"7",91.8431392014026,1,"10","30M"
"10_30M",2,"8",91.540766224265,1,"10","30M"
"10_30M",2,"9",102.305542230606,1,"10","30M"
"10_60M",1,"10",93.58373651,1,"10","60M"
"10_60M",1,"6",94.17402423,1,"10","60M"
"10_60M",1,"7",87.3593598,1,"10","60M"
"10_60M",1,"8",87.2802732,1,"10","60M"
"10_60M",1,"9",92.106075365,1,"10","60M"
"10_60M",2,"10",90.5613251775503,1,"10","60M"
"10_60M",2,"6",100.350941538811,1,"10","60M"
"10_60M",2,"7",74.2497227489948,1,"10","60M"
